DONATION_ID,DISBURSEMENT_ID,DISBURSEMENT_BATCH_ID,FOUNDATION_ID,FOUNDATION_NAME,PARTNER_ID,PARTNER_NAME,SUBSIDIARY_ID,SUBSIDIARY_NAME,ORGANISATION_ID,ORGANISATION_NAME,ORGANISATION_COUNTRY,FUNDRAISER_ID,MATCHED_FROM_DONATION_ID,PROVIDER,PAYMENT_INTENT_EXTERNAL_ID,SUBSCRIPTION_ID,EXTERNAL_PAYMENT_URL,CREATED_AT,CANCELLED_AT,SETTLED_AT,PAYMENT_INITIATED_AT,PAID_AT,DONATION_TYPE,DONATION_STATUS,COMPLIANCE_STATUS,PAYMENT_METHOD,REASSIGNED_REASON,DONATION_REQUEST_SENT_AT,DONATION_REQUEST_REFERENCE,ACCOUNT_ID,DONATION_CURRENCY,DONATION_AMOUNT,DONATION_AMOUNT_USD,SETTLED_CURRENCY,SETTLED_AMOUNT,SETTLED_AMOUNT_USD,DONATION_REQUEST_CURRENCY,DONATION_REQUEST_AMOUNT,DONATION_FEE_CURRENCY,DONATION_FEE_AMOUNT,DONATION_FEE_AMOUNT_USD,ACTUAL_ORGANISATION_CURRENCY,ATTRIBUTED_ORGANISATION_AMOUNT,ATTRIBUTED_ORGANISATION_AMOUNT_USD,SUBSIDIARY_FEE_CURRENCY,SUBSIDIARY_FEE_AMOUNT
donation_000000D903yPhPLS9vbPcd1LFPlrd,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704EnwhOzZ6TMQMMFwHyxV,Organisation_Name_124,Australia,,,,,,,2025-08-11 21:22:23.404 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,2.8,1.823747559,,,,AUD,2.8,,,,,,,,
donation_000000D1OxJNg07jzak8GOjT01gze,,,,,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCJra4A7OsYFlsYrwzWC,Subsidiary_Name_9,organisation_000000C6zmbq7MJFi0MaECEDh5tyr,Organisation_Name_26,United States,,,,,,,2024-12-31 00:00:00.000 Z,,,,,direct,awaiting_donation_request,pass,cheque,,,,,USD,6.1,6.1,,,,USD,6.1,,,,,,,USD,
donation_000000CyshIZzvx1NV4NtGti04FDJ,,,,,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCJquUDDZndklzhAEXnE,Subsidiary_Name_8,organisation_000000C704UPVhSs9UYvrc1sUQFU0,Organisation_Name_77,Australia,,,,,,,2024-10-31 18:08:17.000 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,1.17,0.7689576605,,,,AUD,1.17,,,,,,,AUD,
donation_000000D8t1WGEzIPYW0ferprf3qfh,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704VPGmkGk72JESTbAAwhh,Organisation_Name_30,Australia,,,,,,,2025-08-09 01:27:33.593 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.8,0.5217572009,,,,AUD,0.8,,,,,,,,
donation_000000D8slKOSKXpva9Gxo7sNj5rF,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704TWc4KIW3FhyrPSYdqkW,Organisation_Name_1,Australia,,,,,,,2025-08-08 22:56:23.744 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.39,0.2543566354,,,,AUD,0.39,,,,,,,,
donation_000000D8tjJ89cPWOkzgYKdvzxvxx,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704MRR1DhQWluuqS76OfMr,Organisation_Name_17,Australia,,,,,,,2025-08-09 08:16:22.315 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.4,0.2608786004,,,,AUD,0.4,,,,,,,,
donation_000000D8t6dude8RasRqGxzRLFWkb,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704MRR1DhQWluuqS76OfMr,Organisation_Name_17,Australia,,,,,,,2025-08-09 02:15:23.191 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.2,0.1304393002,,,,AUD,0.2,,,,,,,,
donation_000000D8t7Ikm8AfTbPrPQ4D6Mc9h,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704MRR1DhQWluuqS76OfMr,Organisation_Name_17,Australia,,,,,,,2025-08-09 02:21:32.854 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.56,0.3652300406,,,,AUD,0.56,,,,,,,,
donation_000000D8tAM7vDhRRltNhHa63n9Qf,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704MRR1DhQWluuqS76OfMr,Organisation_Name_17,Australia,,,,,,,2025-08-09 02:50:03.066 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.92,0.600020781,,,,AUD,0.92,,,,,,,,
donation_000000D8tkbvWyHTCCXMswgbHwksL,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704E8lyY3q1URVnORUSBSZ,Organisation_Name_55,Australia,,,,,,,2025-08-09 08:28:32.182 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.73,0.4761034458,,,,AUD,0.73,,,,,,,,
